NA,Density (g.cm-3),2.5,2.38,3.05,2.98,3.07,3.28,3.27,,,,,,,,,,,,
NA,Verification,1.00000133,100.000,100.002,100.000,100.000,100.000,100.000,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Example Material 1,Composition 1,Composition 2,Composition 3,Composition 4,Composition 5,Composition 6,,,,,,,,,,,,
Element,Isotope,W%,W%,W%,W%,W%,W%,W%,,,,,,,,,,,,
H-1,1001,0.009999,31.688,31.688,0.154,0.111,0.111,0.195,,,,,,,,,,,,
H-2,1002,1.15E-06,0.007,0.007,0.000,0.000,0.000,0.000,,,,,,,,,,,,
C-12,6012,0.000989,0.454,0.713,1.816,1.306,1.306,2.298,,,,,,,,,,,,
C-13,6013,1.07E-05,0.005,0.008,0.021,0.015,0.015,0.027,,,,,,,,,,,,
O-16,8016,0.527821,56.596,51.790,2.441,1.755,1.755,3.089,,,,,,,,,,,,
O-17,8017,0.000201,0.023,0.021,0.001,0.001,0.001,0.001,,,,,,,,,,,,
O-18,8018,0.001085,0.128,0.117,0.006,0.004,0.004,0.007,,,,,,,,,,,,
Na-23,11023,0.016,0.174,0.174,3.516,2.528,2.528,4.451,,,,,,,,,,,,
Mg-24,12024,0.00158,0.048,0.048,2.898,2.084,2.084,3.668,,,,,,,,,,,,
Mg-25,12025,0.0002,0.006,0.006,0.382,0.275,0.275,0.484,,,,,,,,,,,,
Mg-26,12026,0.00022,0.007,0.007,0.438,0.315,0.315,0.554,,,,,,,,,,,,
Al-27,13027,0.033872,0.054,0.054,4.127,2.967,2.967,5.224,,,,,,,,,,,,
Si-28,14028,0.310833,7.505,2.899,3.946,2.837,2.837,4.995,,,,,,,,,,,,
Si-29,14029,0.015783,0.395,0.153,0.208,0.149,0.149,0.263,,,,,,,,,,,,
Si-30,14030,0.010405,0.270,0.104,0.142,0.102,0.102,0.179,,,,,,,,,,,,
K-39,19039,0.012124,0.378,0.378,5.558,3.996,3.996,7.035,,,,,,,,,,,,
K-40,19040,1.52E-06,0.000,0.000,0.001,0.001,0.001,0.001,,,,,,,,,,,,
K-41,19041,0.000875,0.029,0.029,0.422,0.303,0.303,0.534,,,,,,,,,,,,
Ca-40,20040,0.042654,2.002,0.965,5.925,4.260,4.260,7.501,,,,,,,,,,,,
Ca-42,20042,0.000285,0.014,0.007,0.042,0.030,0.030,0.053,,,,,,,,,,,,
Ca-43,20043,5.94E-05,0.003,0.001,0.009,0.006,0.006,0.011,,,,,,,,,,,,
Ca-44,20044,0.000918,0.047,0.023,0.140,0.101,0.101,0.178,,,,,,,,,,,,
Ca-46,20046,1.76E-06,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Ca-48,20048,8.23E-05,0.005,0.002,0.014,0.010,0.010,0.017,,,,,,,,,,,,
Fe-54,26054,0.000818,0.007,0.288,0.482,0.347,0.347,0.610,,,,,,,,,,,,
Fe-56,26056,0.012846,0.110,4.696,7.850,5.644,5.644,9.937,,,,,,,,,,,,
Fe-57,26057,0.000297,0.003,0.110,0.185,0.133,0.133,0.234,,,,,,,,,,,,
Fe-58,26058,3.95E-05,0.000,0.015,0.025,0.018,0.018,0.032,,,,,,,,,,,,
S-32,16032,,0.039,0.039,4.645,3.340,3.340,5.880,,,,,,,,,,,,
S-33,16033,,0.000,0.000,0.038,0.027,0.027,0.048,,,,,,,,,,,,
S-34,16034,,0.002,0.002,0.221,0.159,0.159,0.280,,,,,,,,,,,,
S-36,16036,,0.000,0.000,0.001,0.000,0.000,0.001,,,,,,,,,,,,
B-10,5010,,,0.387,0.305,0.219,0.219,0.386,,,,,,,,,,,,
B-11,5011,,,1.712,1.349,0.970,0.970,1.707,,,,,,,,,,,,
Pb-204,820204,,,0.049,0.437,0.314,0.314,0.553,,,,,,,,,,,,
Pb-206,820206,,,0.852,7.592,5.459,5.459,9.611,,,,,,,,,,,,
Pb-207,820207,,,0.785,6.996,5.030,5.030,8.856,,,,,,,,,,,,
Pb-208,820208,,,1.871,16.668,11.985,11.985,21.100,,,,,,,,,,,,
Ba-130,560130,,,,0.021,,,,,,,,,,,,,,,
Ba-132,560132,,,,0.020,,,,,,,,,,,,,,,
Ba-134,560134,,,,0.495,,,,,,,,,,,,,,,
Ba-135,560135,,,,1.360,,,,,,,,,,,,,,,
Ba-136,560136,,,,1.633,,,,,,,,,,,,,,,
Ba-137,560137,,,,2.352,,,,,,,,,,,,,,,
Ba-138,560138,,,,15.123,,,,,,,,,,,,,,,
Bi-209,830209,,,,,22.982,22.982,,,,,,,,,,,,,
W-180,740180,,,,,0.024,0.024,,,,,,,,,,,,,
W-182,740182,,,,,5.302,5.302,,,,,,,,,,,,,
W-183,740183,,,,,2.879,2.879,,,,,,,,,,,,,
W-184,740184,,,,,6.198,6.198,,,,,,,,,,,,,
W-186,740186,,,,,5.814,5.814,,,,,,,,,,,,,